run,suite,variant,sharpe_total,sharpe_drift,sharpe_neutral,mean_drift,mean_neutral,net_exposure,corr_equal_weight,equal_weight_sharpe
ensemble__full_recipe-pca8_cw0.25_b10__ens,ensemble,full_recipe-pca8_cw0.25_b10,1.5173329818365722,-0.5040007284865547,1.5173329819322587,-2.2579506586528275e-12,0.0352036048707233,2.0131149372747001e-13,0.04212938062108153,0.26882578990327877
ensemble__full_recipe-pca8_cw0.25_b1__ens,ensemble,full_recipe-pca8_cw0.25_b1,2.864220681906279,0.20046358336513959,2.864220681896916,9.4985517432714e-13,0.06714822366327079,5.998881820693632e-11,0.015459798444132719,0.26882578990327877
ensemble__full_recipe-pca8_cw0.25_b20__ens,ensemble,full_recipe-pca8_cw0.25_b20,1.412379254191896,0.03290992465245214,1.4123792541852973,1.4837025376465923e-13,0.033012072381032986,-5.097980041738817e-11,0.04444823025731058,0.26882578990327877
ensemble__full_recipe-pca8_cw0.25_b3__ens,ensemble,full_recipe-pca8_cw0.25_b3,2.4103711716710854,-0.025107368435732233,2.4103711716712453,-1.1744899832802148e-13,0.054873984811671356,-5.342452906799212e-11,0.043490536532682963,0.26882578990327877
ensemble__full_recipe-pca8_cw0.25_b5__ens,ensemble,full_recipe-pca8_cw0.25_b5,2.01015441182701,0.4064749344146623,2.0101544117362726,1.943487662181522e-12,0.0467508264360003,2.3652444853589535e-11,0.04533355522280426,0.26882578990327877
ensemble__full_recipe-pca8_cw0.5_b10__ens,ensemble,full_recipe-pca8_cw0.5_b10,1.127334791926398,0.24521292843287604,1.127334791880406,1.0642170302372248e-12,0.02585260816156921,-2.362914568826213e-11,0.022873288046707775,0.26882578990327877
ensemble__full_recipe-pca8_cw0.5_b1__ens,ensemble,full_recipe-pca8_cw0.5_b1,2.604219800046534,-0.1884595652038394,2.6042198000957817,-8.549512238908038e-13,0.060798092248020165,7.012469903503737e-11,0.017293783300377476,0.26882578990327877
ensemble__full_recipe-pca8_cw0.5_b20__ens,ensemble,full_recipe-pca8_cw0.5_b20,1.0250738114870077,-0.0064644675192645955,1.0250738114831974,-3.026688307847001e-14,0.02369723256250968,-1.076978556122038e-11,0.020659316761488987,0.26882578990327877
ensemble__full_recipe-pca8_cw0.5_b3__ens,ensemble,full_recipe-pca8_cw0.5_b3,2.038255049291843,0.03467475469734058,2.038255049297024,1.5250782935713695e-13,0.04613642715086892,4.04561629522287e-12,0.033307116571096716,0.26882578990327877
ensemble__full_recipe-pca8_cw0.5_b5__ens,ensemble,full_recipe-pca8_cw0.5_b5,1.6031820468609033,0.33716177628415456,1.603182046799411,1.4721471694423808e-12,0.036843520461887186,-1.0127221917324056e-11,0.028137294624544753,0.26882578990327877
ensemble__models-cnn_transformer_b10__ens,ensemble,models-cnn_transformer_b10,0.3083214303683963,0.4482821717080789,0.07018281793887263,0.005263722712685996,0.0012629302195390297,0.9836513645283539,0.525687340551427,0.44263575286396684
ensemble__models-cnn_transformer_b1__ens,ensemble,models-cnn_transformer_b1,0.5156382577210296,0.6242612895567053,0.3242616638788517,0.006289652535682549,0.009125525978208449,0.8584146848268642,0.32000434779339043,0.44263575286396684
ensemble__models-cnn_transformer_b3__ens,ensemble,models-cnn_transformer_b3,0.7188717508327049,0.5420838544645905,0.5353529757078237,0.00598344940140105,0.01252276657049513,0.932995553835531,0.4118301659543133,0.44263575286396684
ensemble__models-cnn_transformer_b5__ens,ensemble,models-cnn_transformer_b5,0.4213105160593606,0.47180105680530215,0.22023750682277435,0.00538214429093329,0.0047084270327322495,0.9591384445267985,0.4486815574948432,0.44263575286396684
ensemble__neutral-cnn_transformer_neutral_b10__ens,ensemble,neutral-cnn_transformer_neutral_b10,0.24718963003614966,-0.11368327284719054,0.24718963017897366,-6.4236901437076845e-12,0.011404348442620104,-6.17115613124842e-11,-0.011158403163039416,0.44263575286396684
ensemble__neutral-cnn_transformer_neutral_b1__ens,ensemble,neutral-cnn_transformer_neutral_b1,0.5420609495763796,-0.06058929869181012,0.5420609496632404,-3.1328511631748968e-12,0.024769783234731217,4.7417798765187844e-11,0.0060794968567328776,0.44263575286396684
ensemble__neutral-cnn_transformer_neutral_b3__ens,ensemble,neutral-cnn_transformer_neutral_b3,0.7308639312144227,-0.37483076704704754,0.7308639316235539,-2.053529404039103e-11,0.033198916091791916,-1.4848259940828383e-10,-0.0015987571004800257,0.44263575286396684
ensemble__neutral-cnn_transformer_neutral_b5__ens,ensemble,neutral-cnn_transformer_neutral_b5,0.5823387798817459,-0.5603784650995444,0.5823387805558274,-3.002036040931973e-11,0.02677044772063132,-1.2375682377439672e-10,-0.013273556530263063,0.44263575286396684
ensemble__neutral-ou_ffn_neutral_b10__ens,ensemble,neutral-ou_ffn_neutral_b10,0.17915686919785884,-0.7842035872536998,0.17915687013742765,-4.4610584854588385e-11,0.008596591184698125,2.1686849034949006e-10,-0.04644747350851137,0.44263575286396684
ensemble__neutral-ou_ffn_neutral_b1__ens,ensemble,neutral-ou_ffn_neutral_b1,0.006030624626468986,0.6996888032626125,0.006030623761717365,4.4145372517502e-11,0.0003079178182870734,5.77541113756891e-11,-0.015805157827596453,0.44263575286396684
ensemble__neutral-ou_ffn_neutral_b3__ens,ensemble,neutral-ou_ffn_neutral_b3,0.19119416591437713,-0.18293332227959216,0.19119416612409562,-1.093497729834744e-11,0.009754665274910826,-5.33123999730225e-11,-0.014714903809814045,0.44263575286396684
ensemble__neutral-ou_ffn_neutral_b5__ens,ensemble,neutral-ou_ffn_neutral_b5,0.19877359087593113,0.01966511860153907,0.1987735908269693,1.2148819001455844e-12,0.009985487803929454,1.564646726409796e-10,-0.03033901485931611,0.44263575286396684
epochs__e100__s0,epochs,e100,0.6378213335803642,0.4645212297697245,0.5496891818941326,0.0038079095195544398,0.018979178579205332,0.6855287727128823,0.2269436945558859,0.44263575286396684
epochs__e100__s1,epochs,e100,0.16334328829367706,0.6224160324973634,0.012486152539722455,0.00542676295509356,0.00043266930899416684,0.6584527140689238,0.25119733908261344,0.44263575286396684
epochs__e100__s2,epochs,e100,0.3035088795216071,0.6862638056122609,0.1502405289836063,0.005692716818401852,0.005366367201689646,0.6892093638323716,0.18331831648983613,0.44263575286396684
epochs__e10__s0,epochs,e10,-0.2848727735305982,0.35512684524616356,-0.4102447860641101,0.003331684804691067,-0.012528045114465198,0.6954268626219409,0.2851943696290555,0.44263575286396684
epochs__e10__s1,epochs,e10,-0.06942598814592962,0.9734950496834964,-0.28138569092522947,0.007321775696137064,-0.00974006293075485,0.4495209262495651,0.10580688297562447,0.44263575286396684
epochs__e10__s2,epochs,e10,0.2225552151696017,0.7673244107304262,-0.002305805021917215,0.0069586212589778495,-6.850114596262507e-05,0.7262701368328237,0.24496890389409665,0.44263575286396684
epochs__e30__s0,epochs,e30,0.6271750035771678,0.49002161355101387,0.4821009253165371,0.005090043889416521,0.01211750547509579,0.8738251866547478,0.38349782030064045,0.44263575286396684
epochs__e30__s1,epochs,e30,0.3133756557807929,0.6022980260893244,0.1593853937847213,0.005297806122864554,0.005129967658005927,0.6994543399479851,0.2382565681983516,0.44263575286396684
epochs__e30__s2,epochs,e30,0.5192854273891212,0.8341558964960577,0.312349348423598,0.007211250846425855,0.010099347784182804,0.7054644477477393,0.2040727603834163,0.44263575286396684
factors__cnn_transformer_k0__s0,factors,cnn_transformer_k0,0.8274935611652203,1.0155679438043685,-0.366317073327825,0.16200337449909716,-0.018934974829951434,0.6467467688285001,0.8259063703387127,0.9451538031633624
factors__cnn_transformer_k0__s1,factors,cnn_transformer_k0,0.7502676425149745,0.8497062996599939,-0.13924213557415666,0.13622852951448627,-0.006978643010654936,0.605180038974846,0.876900455311839,0.9451538031633624
factors__cnn_transformer_k0__s2,factors,cnn_transformer_k0,0.7631109197460487,0.8519011798091174,-0.10028035936606829,0.13238674332099806,-0.005292917704489793,0.566560206201319,0.830209612067427,0.9451538031633624
factors__cnn_transformer_k10__s0,factors,cnn_transformer_k10,-0.08207905376921032,0.13626959045318746,-0.1217233817159197,0.0010180407794175858,-0.003354157144540185,0.6898269505233591,0.21334282722968267,0.3821507854512802
factors__cnn_transformer_k10__s1,factors,cnn_transformer_k10,0.10771070399334798,0.14545380000382235,0.07087763221086336,0.001106597620569159,0.0018713244178098901,0.7290518839471191,0.28206642657465336,0.3821507854512802
factors__cnn_transformer_k10__s2,factors,cnn_transformer_k10,-0.47062492601283007,0.2118740308920983,-0.5540385119672508,0.0016411119736056733,-0.014388656765518527,0.7750862698390028,0.28836738100797576,0.3821507854512802
