run,days,gross_sharpe,gross_expected_max_sharpe,gross_dsr,gross_psr,net_sharpe,net_expected_max_sharpe,net_dsr,net_psr
ensemble__full_recipe-pca5_cw0.5_b3__ens,2769,1.5639259689590146,1.9985497727695942,0.06957746793898414,0.999999948614249,-1.1240398551497346,2.6190882348118674,1.64967970574496e-33,0.00015585357145275698
full_recipe__pca5_cw0.5__s1,2769,1.524912381176321,1.9985497727695942,0.05113158008717207,0.9999999282553104,-1.732055130267763,2.6190882348118674,7.551591754051388e-41,5.571909285732067e-08
full_paper__ff5__s0,2769,1.510005819659533,1.9985497727695942,0.0514267910594612,0.9999997692691279,-3.736109180346665,2.6190882348118674,6.019000104522932e-80,5.651866933933378e-29
full_recipe__ff5_cw0.25__s2,2769,1.4941112248366124,1.9985497727695942,0.044601473381029384,0.9999997600078385,-2.8237239819746645,2.6190882348118674,1.0513532989383088e-62,2.590963279567587e-18
ensemble__full_paper-ff5_b3__ens,2769,1.424714887718211,1.9985497727695942,0.02583635510151347,0.9999993212645434,-1.5617969617820633,2.6190882348118674,2.0340696404262544e-40,3.662803234339291e-07
ensemble__full_recipe-pca8_cw0.25_b20__ens,2769,1.3901327038380284,1.9985497727695942,0.02099854261455709,0.9999983104916806,0.05219024645676555,2.6190882348118674,8.619977575313774e-18,0.5686925432619179
ensemble__full_recipe-pca8_cw0.25_b10__ens,2769,1.3731050800494913,1.9985497727695942,0.018492911413787026,0.9999976689164299,-0.35318275471503874,2.6190882348118674,4.4496775171005935e-23,0.12154203147029413
ensemble__full_recipe-pca5_cw0.5_b5__ens,2769,1.349837243669701,1.9985497727695942,0.0144729856710639,0.9999972521348123,-0.7897707791331541,2.6190882348118674,4.618305846219784e-29,0.004968710891497627
full_recipe__ff5_cw0.25__s0,2769,1.3375435680852266,1.9985497727695942,0.014410204023331112,0.9999951381924305,-3.06733869146875,2.6190882348118674,6.76017271563793e-73,1.2345288907473906e-22
ensemble__full_recipe-pca8_cw0.5_b5__ens,2769,1.2858831471784031,1.9985497727695942,0.008419487821005024,0.999991936705808,-0.9023947588812334,2.6190882348118674,4.6815965291368155e-31,0.0015659039529684804
ensemble__full_recipe-pca5_cw0.25_b10__ens,2769,1.2768563490911866,1.9985497727695942,0.00788138464227409,0.9999902967403559,-0.5268850646499592,2.6190882348118674,1.855425387975311e-25,0.04134064377717544
